datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2022/01/11 17:15:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,11,0,1,4.22817,-60.18431,19.5
2022/01/11 17:13:00,AQUA_M-T,Brasil,PARA,RUROPOLIS,Amazonia,2,0.9,0.1,-4.21541,-54.90501,10.3
2022/01/11 17:13:00,AQUA_M-T,Brasil,PARA,PRAINHA,Amazonia,0,0.9,0,-2.17804,-53.71971,28.4
2022/01/11 17:13:00,AQUA_M-T,Brasil,RORAIMA,SAO JOAO DA BALIZA,Amazonia,3,0,0.1,0.71377,-59.81431,26.1
2022/01/13 16:54:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,MUITOS CAPOES,Mata Atlantica,3,0,0.9,-28.56226,-51.36904,26.4
2022/01/14 16:05:00,AQUA_M-T,Brasil,BAHIA,RIO REAL,Mata Atlantica,6,0,0.7,-11.68633,-37.82563,11.3
2022/01/14 16:05:00,AQUA_M-T,Brasil,MARANHAO,SANTO AMARO DO MARANHAO,Cerrado,2,0.8,0.1,-2.82439,-43.21342,25.1
2022/01/14 16:07:00,AQUA_M-T,Brasil,PARA,GARRAFAO DO NORTE,Amazonia,0,2.9,0.1,-2.01617,-47.00993,61.5
2022/01/14 16:05:00,AQUA_M-T,Brasil,MARANHAO,PENALVA,Amazonia,0,3.1,-999,-3.26306,-45.30437,20.7
2022/01/16 15:52:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SANTANA DO MATOS,Caatinga,2,27.2,0,-5.89268,-36.73197,8.8
2022/01/21 17:43:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,FORTALEZA DOS VALOS,Pampa,5,0,1,-28.93822,-53.35224,16.4
2022/01/21 17:49:00,AQUA_M-T,Brasil,AMAZONAS,MANICORE,Amazonia,0,10.1,0,-7.9539,-61.35332,5.3
2022/01/21 17:43:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,MACAMBARA,Pampa,2,0.5,0.7,-29.02959,-56.16468,16.2
2022/01/21 16:09:00,AQUA_M-T,Brasil,BAHIA,MUQUEM DO SAO FRANCISCO,Cerrado,9,0.1,0.1,-11.96912,-43.61663,48.3
2022/01/21 16:09:00,AQUA_M-T,Brasil,BAHIA,BARREIRAS,Cerrado,8,0.2,0.1,-12.06231,-45.25441,48.4
2022/01/21 16:09:00,AQUA_M-T,Brasil,BAHIA,SAO DESIDERIO,Cerrado,0,6.7,0,-12.62075,-46.27885,52
2022/01/22 16:56:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,14,0,1,3.14944,-59.97308,46.3
2022/01/22 16:56:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,14,0.1,1,3.1545,-60.0049,99.3
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHAO,BREJO,Cerrado,2,1.6,0.2,-3.65047,-42.79267,34.3
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHAO,CAXIAS,Cerrado,4,0.4,0,-5.05544,-43.38588,32.4
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHAO,PIRAPEMAS,Cerrado,2,4,0,-3.87409,-44.2892,104.6
2022/01/23 15:58:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SAO MIGUEL DO GOSTOSO,Caatinga,5,0,1,-5.18672,-35.71511,12.7
2022/01/23 15:58:00,AQUA_M-T,Brasil,PARAIBA,CAJAZEIRAS,Caatinga,5,0,0.2,-6.97606,-38.62823,13.9
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHAO,BREJO,Cerrado,2,1.5,0.1,-3.65391,-42.78519,32.5
2022/01/23 15:56:00,AQUA_M-T,Brasil,PERNAMBUCO,GOIANA,Mata Atlantica,-999,0,1,-7.5387,-34.9776,9.5
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHAO,TUTOIA,Cerrado,-999,1.6,0.1,-2.8262,-42.3753,37.2
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHAO,BREJO,Cerrado,2,1.8,0.1,-3.65729,-42.80999,31.9
2022/01/23 15:58:00,AQUA_M-T,Brasil,PIAUI,SEBASTIAO LEAL,Cerrado,5,0.1,0.1,-8.17112,-44.20264,85.4
2022/01/23 15:56:00,AQUA_M-T,Brasil,PIAUI,CURRAIS,Cerrado,3,1.7,0,-8.67654,-44.63165,70.7
2022/01/23 15:58:00,AQUA_M-T,Brasil,MARANHAO,BURITI,Cerrado,3,0.1,0.2,-3.85517,-42.92479,40.9
2022/01/25 17:21:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Cerrado,1,1.8,0,-20.22933,-57.35368,17.9
2022/01/25 17:21:00,AQUA_M-T,Brasil,MATO GROSSO,GAUCHA DO NORTE,Amazonia,2,2.4,0,-13.46212,-53.34909,16.8
2022/01/25 17:21:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Cerrado,1,1.8,0,-20.23223,-57.34773,25.8
2022/01/30 17:45:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,3,0.4,0.9,2.75473,-60.07822,18.5
2022/01/30 17:45:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,3,0.4,0.9,2.75322,-60.08892,23
2022/01/01 18:06:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,ROSARIO DO SUL,Pampa,2,0.4,0.6,-30.27933,-55.61089,76.7
2022/01/01 18:13:00,AQUA_M-T,Brasil,RONDONIA,GUAJARA-MIRIM,Amazonia,8,0.1,0.6,-11.72939,-64.88394,12
2022/01/01 18:15:00,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazonia,3,0.3,0,-7.50954,-63.74274,10.4
2022/01/01 18:08:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,NAVIRAI,Mata Atlantica,3,0,0.2,-23.15905,-53.72797,127.2
2022/01/01 18:08:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,NAVIRAI,Mata Atlantica,3,0,0.2,-23.15894,-53.73284,105.5
2022/01/01 18:13:00,AQUA_M-T,Brasil,ACRE,XAPURI,Amazonia,7,0,0,-10.97156,-68.33749,5.5
2022/01/01 18:15:00,AQUA_M-T,Brasil,RONDONIA,NOVA MAMORE,Amazonia,3,0,0.1,-10.14938,-65.11926,23.2
2022/01/01 18:17:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,3,0.1,0.4,3.63268,-60.73129,75.2
2022/01/01 18:06:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,URUGUAIANA,Pampa,6,0,1,-29.79655,-57.1071,32.7
2022/01/01 18:15:00,AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,5,0,0,-9.03222,-65.93735,6.3
2022/01/01 18:06:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,ROSARIO DO SUL,Pampa,2,0.3,0.7,-30.2748,-55.58874,36.4
2022/01/01 18:15:00,AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,4,0,0,-9.25052,-65.99835,10.7
2022/01/01 18:13:00,AQUA_M-T,Brasil,RONDONIA,GUAJARA-MIRIM,Amazonia,8,0.2,0.2,-11.73219,-64.88873,11.8
